Date,Rainfall
01/01/2001,3
02/01/2001,0.8
03/01/2001,4
04/01/2001,0
05/01/2001,2
06/01/2001,3
07/01/2001,0.8
08/01/2001,0.1
09/01/2001,0.4
10/01/2001,1.2
11/01/2001,0.2
12/01/2001,0
13/01/2001,0
14/01/2001,0
15/01/2001,0
16/01/2001,0
17/01/2001,0
18/01/2001,1
19/01/2001,1.1
20/01/2001,0.5
21/01/2001,0.7
22/01/2001,1.9
23/01/2001,10.2
24/01/2001,0.5
25/01/2001,1.3
26/01/2001,0.4
27/01/2001,0
28/01/2001,0.1
29/01/2001,1.4
30/01/2001,0.6
31/01/2001,0
01/02/2001,4
02/02/2001,5
03/02/2001,5.4
04/02/2001,8.5
05/02/2001,11.3
06/02/2001,9.8
07/02/2001,0
08/02/2001,0
09/02/2001,0
10/02/2001,6.5
11/02/2001,2.5
12/02/2001,0
13/02/2001,0
14/02/2001,0.1
15/02/2001,0
16/02/2001,0.1
17/02/2001,0
18/02/2001,0.8
19/02/2001,0
20/02/2001,0.2
21/02/2001,0
22/02/2001,0.1
23/02/2001,0
24/02/2001,2
25/02/2001,2.5
26/02/2001,22.9
27/02/2001,0.2
28/02/2001,0.2
01/03/2001,0
02/03/2001,0
03/03/2001,0
04/03/2001,0.1
05/03/2001,0
06/03/2001,0.8
07/03/2001,0.2
08/03/2001,0.3
09/03/2001,0.6
10/03/2001,0.5
11/03/2001,21
12/03/2001,0.1
13/03/2001,0
14/03/2001,4.6
15/03/2001,0.7
16/03/2001,1.3
17/03/2001,4
18/03/2001,3.6
19/03/2001,0.4
20/03/2001,0
21/03/2001,0.4
22/03/2001,4.1
23/03/2001,3.5
24/03/2001,0.7
25/03/2001,2.2
26/03/2001,0
27/03/2001,4.1
28/03/2001,6.4
29/03/2001,1.7
30/03/2001,3.8
31/03/2001,1
01/04/2001,0.6
02/04/2001,0.2
03/04/2001,1.2
04/04/2001,0.1
05/04/2001,2.1
06/04/2001,14.3
07/04/2001,0.4
08/04/2001,0.5
09/04/2001,2.5
10/04/2001,1.7
11/04/2001,0
12/04/2001,0
13/04/2001,0.4
14/04/2001,0.8
15/04/2001,1.2
16/04/2001,0
17/04/2001,7.7
18/04/2001,0.1
19/04/2001,0
20/04/2001,0
21/04/2001,3
22/04/2001,4.6
23/04/2001,0.9
24/04/2001,2.5
25/04/2001,11.6
26/04/2001,0.3
27/04/2001,2
28/04/2001,1.2
29/04/2001,0.1
30/04/2001,0.7
01/05/2001,0
02/05/2001,0
03/05/2001,0.6
04/05/2001,0
05/05/2001,0
06/05/2001,0
07/05/2001,0
08/05/2001,0
09/05/2001,0
10/05/2001,0.1
11/05/2001,0
12/05/2001,0
13/05/2001,0
14/05/2001,0
15/05/2001,3.2
16/05/2001,4.8
17/05/2001,19.3
18/05/2001,0.1
19/05/2001,0
20/05/2001,0
21/05/2001,0
22/05/2001,0
23/05/2001,0
24/05/2001,0
25/05/2001,0.1
26/05/2001,0.2
27/05/2001,0.2
28/05/2001,2.2
29/05/2001,1.6
30/05/2001,8.6
31/05/2001,2
01/06/2001,1.4
02/06/2001,0
03/06/2001,0
04/06/2001,0
05/06/2001,1.3
06/06/2001,2.1
07/06/2001,6.3
08/06/2001,2.4
09/06/2001,7.9
10/06/2001,0
11/06/2001,0
12/06/2001,0
13/06/2001,0
14/06/2001,4.9
15/06/2001,10.8
16/06/2001,0.2
17/06/2001,0
18/06/2001,4.1
19/06/2001,3.8
20/06/2001,0
21/06/2001,0
22/06/2001,0
23/06/2001,0
24/06/2001,0
25/06/2001,1.6
26/06/2001,14.2
27/06/2001,3.2
28/06/2001,0.4
29/06/2001,4.8
30/06/2001,0.8
01/07/2001,0.7
02/07/2001,0
03/07/2001,1.3
04/07/2001,0.1
05/07/2001,0.1
06/07/2001,17.7
07/07/2001,7.8
08/07/2001,0.1
09/07/2001,0.2
10/07/2001,11.2
11/07/2001,7.1
12/07/2001,12.9
13/07/2001,4.8
14/07/2001,5.7
15/07/2001,0.6
16/07/2001,0
17/07/2001,1.3
18/07/2001,0.8
19/07/2001,0
20/07/2001,4.3
21/07/2001,1.1
22/07/2001,0.1
23/07/2001,1.8
24/07/2001,0.3
25/07/2001,0.1
26/07/2001,1.4
27/07/2001,0.1
28/07/2001,0
29/07/2001,0.1
30/07/2001,9.4
31/07/2001,0
01/08/2001,0.2
02/08/2001,3.5
03/08/2001,0
04/08/2001,3.4
05/08/2001,0
06/08/2001,1.7
07/08/2001,13.8
08/08/2001,8.9
09/08/2001,1.9
10/08/2001,0.1
11/08/2001,2
12/08/2001,6.8
13/08/2001,18.1
14/08/2001,0.1
15/08/2001,2.2
16/08/2001,0.3
17/08/2001,0.6
18/08/2001,11.4
19/08/2001,31.2
20/08/2001,0
21/08/2001,0.1
22/08/2001,0
23/08/2001,0
24/08/2001,0
25/08/2001,3.4
26/08/2001,0.2
27/08/2001,0.1
28/08/2001,0
29/08/2001,2.4
30/08/2001,3
31/08/2001,0
01/09/2001,3.2
02/09/2001,0
03/09/2001,0.6
04/09/2001,0.6
05/09/2001,0
06/09/2001,0.6
07/09/2001,0.7
08/09/2001,0.1
09/09/2001,0
10/09/2001,0.1
11/09/2001,0
12/09/2001,5.7
13/09/2001,1.2
14/09/2001,3.1
15/09/2001,0.5
16/09/2001,2.1
17/09/2001,0
18/09/2001,0
19/09/2001,4.8
20/09/2001,4
21/09/2001,0
22/09/2001,0
23/09/2001,3.3
24/09/2001,1.3
25/09/2001,2.8
26/09/2001,0.2
27/09/2001,2.8
28/09/2001,2
29/09/2001,2.7
30/09/2001,10.5
01/10/2001,0.7
02/10/2001,2.5
03/10/2001,3.4
04/10/2001,1
05/10/2001,4.9
06/10/2001,6.9
07/10/2001,18.6
08/10/2001,0.2
09/10/2001,2.3
10/10/2001,0.3
11/10/2001,0.7
12/10/2001,1.1
13/10/2001,0.2
14/10/2001,8.9
15/10/2001,3.3
16/10/2001,0.1
17/10/2001,1.4
18/10/2001,3.5
19/10/2001,4.4
20/10/2001,5.3
21/10/2001,17.6
22/10/2001,4
23/10/2001,2.3
24/10/2001,0.1
25/10/2001,6.9
26/10/2001,1.2
27/10/2001,0
28/10/2001,0.2
29/10/2001,0.3
30/10/2001,4.1
31/10/2001,0
01/11/2001,0
02/11/2001,0.4
03/11/2001,0.8
04/11/2001,0.3
05/11/2001,7.1
06/11/2001,0
07/11/2001,8.8
08/11/2001,1.3
09/11/2001,2.1
10/11/2001,0
11/11/2001,3.5
12/11/2001,1.1
13/11/2001,0.1
14/11/2001,0.1
15/11/2001,7.2
16/11/2001,0
17/11/2001,0.2
18/11/2001,9.5
19/11/2001,1.2
20/11/2001,0.7
21/11/2001,2.4
22/11/2001,0.1
23/11/2001,0.4
24/11/2001,2.3
25/11/2001,0.2
26/11/2001,3.3
27/11/2001,1.8
28/11/2001,2.2
29/11/2001,3
30/11/2001,10.1
01/12/2001,0
02/12/2001,0
03/12/2001,1.5
04/12/2001,7
