Date,Flowrate
01/01/2014,6.291
02/01/2014,4.906
03/01/2014,6.55
04/01/2014,4.57
05/01/2014,4.133
06/01/2014,5.762
07/01/2014,3.544
08/01/2014,2.727
09/01/2014,2.426
10/01/2014,2.405
11/01/2014,2.236
12/01/2014,2.103
13/01/2014,1.852
14/01/2014,1.842
15/01/2014,2.035
16/01/2014,2.286
17/01/2014,2.201
18/01/2014,2.191
19/01/2014,2.533
20/01/2014,2.004
21/01/2014,1.879
22/01/2014,1.827
23/01/2014,1.849
24/01/2014,1.91
25/01/2014,4.903
26/01/2014,4.15
27/01/2014,2.924
28/01/2014,2.752
29/01/2014,2.847
30/01/2014,2.526
31/01/2014,2.379
01/02/2014,4.576
02/02/2014,3.57
03/02/2014,2.635
04/02/2014,2.133
05/02/2014,2.52
06/02/2014,2.091
07/02/2014,1.806
08/02/2014,3.376
09/02/2014,2.84
10/02/2014,2.077
11/02/2014,1.972
12/02/2014,3.194
13/02/2014,4.111
14/02/2014,4.094
15/02/2014,5.062
16/02/2014,2.997
17/02/2014,2.614
18/02/2014,2.829
19/02/2014,2.969
20/02/2014,3.305
21/02/2014,2.947
22/02/2014,2.628
23/02/2014,4.293
24/02/2014,5.667
25/02/2014,3.411
26/02/2014,3.645
27/02/2014,3.186
28/02/2014,2.834
01/03/2014,3.212
02/03/2014,3.467
03/03/2014,2.659
04/03/2014,1.939
05/03/2014,1.775
06/03/2014,2.386
07/03/2014,4.192
08/03/2014,2.513
09/03/2014,2.894
10/03/2014,2.86
11/03/2014,2.445
12/03/2014,2.329
13/03/2014,1.914
14/03/2014,1.668
15/03/2014,1.6
16/03/2014,1.546
17/03/2014,1.505
18/03/2014,1.148
19/03/2014,0.943
20/03/2014,4.685
21/03/2014,2.761
22/03/2014,2.023
23/03/2014,1.337
24/03/2014,1.113
25/03/2014,1.108
26/03/2014,1.322
27/03/2014,1.363
28/03/2014,1.592
29/03/2014,1.615
30/03/2014,1.468
31/03/2014,1.4
01/04/2014,4.408
02/04/2014,2.183
03/04/2014,2.218
04/04/2014,3.722
05/04/2014,2.17
06/04/2014,1.772
07/04/2014,2.319
08/04/2014,1.787
09/04/2014,1.632
10/04/2014,1.414
11/04/2014,1.255
12/04/2014,1.214
13/04/2014,1.16
14/04/2014,1.097
15/04/2014,1.024
16/04/2014,0.886
17/04/2014,0.845
18/04/2014,0.688
19/04/2014,0.661
20/04/2014,0.646
21/04/2014,0.641
22/04/2014,0.654
23/04/2014,0.472
24/04/2014,0.41
25/04/2014,1.077
26/04/2014,1.35
27/04/2014,0.889
28/04/2014,0.768
29/04/2014,0.66
30/04/2014,0.859
01/05/2014,1.123
02/05/2014,0.83
03/05/2014,0.669
04/05/2014,0.61
05/05/2014,0.57
06/05/2014,0.534
07/05/2014,0.694
08/05/2014,0.934
09/05/2014,1.105
10/05/2014,0.815
11/05/2014,0.766
12/05/2014,0.745
13/05/2014,1.11
14/05/2014,1.186
15/05/2014,1.037
16/05/2014,0.924
17/05/2014,0.904
18/05/2014,0.888
19/05/2014,0.894
20/05/2014,0.688
21/05/2014,0.519
22/05/2014,0.552
23/05/2014,0.46
24/05/2014,0.701
25/05/2014,3.935
26/05/2014,1.35
27/05/2014,0.885
28/05/2014,1.823
29/05/2014,1.511
30/05/2014,1.005
31/05/2014,0.816
01/06/2014,0.738
02/06/2014,0.699
03/06/2014,0.76
04/06/2014,5.267
05/06/2014,4.496
06/06/2014,2.626
07/06/2014,3.16
08/06/2014,2.149
09/06/2014,2.669
10/06/2014,2.833
11/06/2014,2.597
12/06/2014,1.899
13/06/2014,1.363
14/06/2014,1.311
15/06/2014,1.221
16/06/2014,0.966
17/06/2014,0.601
18/06/2014,0.55
19/06/2014,0.481
20/06/2014,0.458
21/06/2014,0.44
22/06/2014,0.427
23/06/2014,0.421
24/06/2014,0.423
25/06/2014,0.405
26/06/2014,0.395
27/06/2014,0.425
28/06/2014,0.459
29/06/2014,0.434
30/06/2014,0.417
01/07/2014,0.409
02/07/2014,0.401
03/07/2014,0.399
04/07/2014,0.428
05/07/2014,0.403
06/07/2014,0.423
07/07/2014,0.397
08/07/2014,0.567
09/07/2014,0.395
10/07/2014,0.382
11/07/2014,0.381
12/07/2014,0.634
13/07/2014,0.445
14/07/2014,0.415
15/07/2014,0.406
16/07/2014,0.447
17/07/2014,0.384
18/07/2014,0.394
19/07/2014,0.471
20/07/2014,0.425
21/07/2014,0.372
22/07/2014,0.384
23/07/2014,0.477
24/07/2014,0.477
25/07/2014,0.475
26/07/2014,0.591
27/07/2014,0.51
28/07/2014,0.596
29/07/2014,0.517
30/07/2014,0.475
31/07/2014,0.486
01/08/2014,0.514
02/08/2014,1.263
03/08/2014,0.729
04/08/2014,0.553
05/08/2014,0.585
06/08/2014,0.846
07/08/2014,0.531
08/08/2014,0.786
09/08/2014,0.547
10/08/2014,1.711
11/08/2014,1.4
12/08/2014,0.965
13/08/2014,0.73
14/08/2014,0.954
15/08/2014,0.736
16/08/2014,0.627
17/08/2014,0.551
18/08/2014,0.506
19/08/2014,0.512
20/08/2014,0.483
21/08/2014,0.584
22/08/2014,0.581
23/08/2014,0.571
24/08/2014,0.499
25/08/2014,0.475
26/08/2014,0.469
27/08/2014,0.457
28/08/2014,0.468
29/08/2014,0.66
30/08/2014,0.656
31/08/2014,0.514
01/09/2014,0.474
02/09/2014,0.485
03/09/2014,0.476
04/09/2014,0.457
05/09/2014,0.593
06/09/2014,0.488
07/09/2014,0.451
08/09/2014,0.442
09/09/2014,0.441
10/09/2014,0.446
11/09/2014,0.451
12/09/2014,0.448
13/09/2014,0.447
14/09/2014,0.453
15/09/2014,0.778
16/09/2014,0.519
17/09/2014,0.509
18/09/2014,0.475
19/09/2014,0.472
20/09/2014,0.487
21/09/2014,0.49
22/09/2014,0.453
23/09/2014,0.485
24/09/2014,0.472
25/09/2014,0.469
26/09/2014,0.443
27/09/2014,0.437
28/09/2014,0.436
29/09/2014,0.432
30/09/2014,0.355
01/10/2014,0.323
02/10/2014,0.334
03/10/2014,2.183
04/10/2014,4.095
05/10/2014,1.115
06/10/2014,0.883
07/10/2014,0.698
08/10/2014,0.701
09/10/2014,0.642
10/10/2014,0.566
11/10/2014,0.508
12/10/2014,0.507
13/10/2014,0.87
14/10/2014,1.293
15/10/2014,1.112
16/10/2014,1.134
17/10/2014,1.139
18/10/2014,1.941
19/10/2014,2.659
20/10/2014,1.691
21/10/2014,1.577
22/10/2014,1.2
23/10/2014,1.19
24/10/2014,1.13
25/10/2014,1.052
26/10/2014,1.596
27/10/2014,1.718
28/10/2014,5.056
29/10/2014,1.934
30/10/2014,1.547
31/10/2014,1.4
01/11/2014,1.351
02/11/2014,1.358
03/11/2014,1.532
04/11/2014,1.471
05/11/2014,1.411
06/11/2014,2.776
07/11/2014,2.942
08/11/2014,2.169
09/11/2014,1.882
10/11/2014,1.65
11/11/2014,1.69
12/11/2014,1.803
13/11/2014,1.679
14/11/2014,3.259
15/11/2014,2.217
16/11/2014,2.275
17/11/2014,5.694
18/11/2014,2.634
19/11/2014,2.243
20/11/2014,2.027
21/11/2014,1.975
22/11/2014,1.95
23/11/2014,1.774
24/11/2014,1.668
25/11/2014,1.365
26/11/2014,1.211
27/11/2014,1.004
28/11/2014,0.788
29/11/2014,0.758
30/11/2014,0.729
01/12/2014,0.741
02/12/2014,0.705
03/12/2014,0.694
04/12/2014,0.688
05/12/2014,0.656
06/12/2014,0.745
07/12/2014,1.43
08/12/2014,1.241
09/12/2014,3.413
10/12/2014,4.769
11/12/2014,3.542
12/12/2014,2.622
13/12/2014,2.552
14/12/2014,3.394
15/12/2014,2.358
16/12/2014,2.454
17/12/2014,2.772
18/12/2014,2.9
19/12/2014,3.706
20/12/2014,3.023
21/12/2014,7.152
22/12/2014,9.677
23/12/2014,6.905
24/12/2014,5.319
25/12/2014,3.307
26/12/2014,2.784
27/12/2014,2.505
28/12/2014,2.307
29/12/2014,2.077
30/12/2014,2.022
31/12/2014,1.97
